0,0,1
0,1,2
0,1,1
0,0,10
0.1,0,10
0.2,0,10
0.3,0,10
0.4,0,10
0.5,0,10
0.6,0,10
0.7,0,10
0.8,0,10
0.9,0,10
1,0,10
1.1,0,10
1.2,0,10
1.3,0,10
1.4,0,10
1.5,0,10
1.6,0,10
1.7,0,10
1.8,0,10
1.9,0,10
2,0,10
2.1,0,10
2.2,0,10
2.3,0,10
2.4,0,10
2.5,0,10
2.6,0,10
2.7,0,10
2.8,0,10
2.9,0,10
3,0,10
3.1,0,10
3.2,0,10
3.3,0,10
3.4,0,10
3.5,0,10
3.6,0,10
3.7,0,10
3.8,0,10
3.9,0,10
4,0,10
4.1,0,10
4.2,0,10
4.3,0,10
4.4,0,10
4.5,0,10
4.6,0,10
4.7,0,10
4.8,0,10
4.9,0,10
5,0,10
